SENTENCE,TRIPLES
The following safety guidelines are intended to prevent unforeseen risks or damage from unsafe or incorrect operation of the appliance.,"|-  {'subject': 'following safety guidelines', 'relation': 'prevent risks from', 'object': 'unsafe operation'}
|-  {'subject': 'safety guidelines', 'relation': 'prevent', 'object': 'risks'}
|-  {'subject': 'safety guidelines', 'relation': 'prevent damage from', 'object': 'operation'}
|-  {'subject': 'following safety guidelines', 'relation': 'are', 'object': 'intended'}
|-  {'subject': 'safety guidelines', 'relation': 'are', 'object': 'intended'}
|-  {'subject': 'safety guidelines', 'relation': 'prevent damage from', 'object': 'unsafe operation'}
|-  {'subject': 'safety guidelines', 'relation': 'prevent risks from', 'object': 'unsafe operation'}
|-  {'subject': 'following safety guidelines', 'relation': 'prevent risks from', 'object': 'operation of appliance'}
|-  {'subject': 'following safety guidelines', 'relation': 'prevent damage from', 'object': 'operation of appliance'}
|-  {'subject': 'following safety guidelines', 'relation': 'prevent risks from', 'object': 'unsafe operation of appliance'}
|-  {'subject': 'following safety guidelines', 'relation': 'prevent risks from', 'object': 'operation'}
|-  {'subject': 'safety guidelines', 'relation': 'prevent', 'object': 'damage'}
|-  {'subject': 'following safety guidelines', 'relation': 'prevent damage from', 'object': 'unsafe operation of appliance'}
|-  {'subject': 'safety guidelines', 'relation': 'prevent damage from', 'object': 'unsafe operation of appliance'}
|-  {'subject': 'safety guidelines', 'relation': 'prevent risks from', 'object': 'operation of appliance'}
|-  {'subject': 'following safety guidelines', 'relation': 'prevent', 'object': 'damage'}
|-  {'subject': 'following safety guidelines', 'relation': 'prevent damage from', 'object': 'operation'}
|-  {'subject': 'following safety guidelines', 'relation': 'prevent', 'object': 'risks'}
|-  {'subject': 'following safety guidelines', 'relation': 'prevent', 'object': 'unforeseen risks'}
|-  {'subject': 'safety guidelines', 'relation': 'prevent', 'object': 'unforeseen risks'}
|-  {'subject': 'following safety guidelines', 'relation': 'prevent damage from', 'object': 'unsafe operation'}
|-  {'subject': 'safety guidelines', 'relation': 'prevent risks from', 'object': 'unsafe operation of appliance'}
|-  {'subject': 'safety guidelines', 'relation': 'prevent damage from', 'object': 'operation of appliance'}
|-  {'subject': 'safety guidelines', 'relation': 'prevent risks from', 'object': 'operation'}
"
The guidelines are separated into WARNING and CAUTION as described below.,"|-  {'subject': 'guidelines', 'relation': 'are separated', 'object': 'described below'}
|-  {'subject': 'guidelines', 'relation': 'are separated into', 'object': 'WARNING'}
|-  {'subject': 'guidelines', 'relation': 'are', 'object': 'separated'}
|-  {'subject': 'guidelines', 'relation': 'are separated', 'object': 'described'}
"
This symbol is displayed to indicate matters and operations that can cause risk.,"|-  {'subject': 'symbol', 'relation': 'is', 'object': 'displayed'}
|-  {'subject': 'symbol', 'relation': 'indicate', 'object': 'operations'}
|-  {'subject': 'symbol', 'relation': 'indicate', 'object': 'matters'}
"
Read the part with this symbol carefully and follow the instructions in order to avoid risk.,"|-  {'subject': 'part', 'relation': 'follow', 'object': 'instructions'}
"
WARNING - This indicates that the failure to follow the instructions can cause serious injury or death.,
CAUTION - This indicates that the failure to follow the instructions can cause minor injury or damage the product.,
"To reduce the risk of explosion, fire, death, electric shock, injury or scalding to persons when using this product, follow basic precautions, including the following:   Keep ventilation openings, in the appliance enclosure or in the built-in structure, clear of obstruction.",
"Do not use mechanical devices or other means to accelerate the defrosting process, other than those recommended by the manufacturer.",
Do not damage the refrigerant circuit.,
"Do not use electrical appliances inside the food storage compartments of the appliance, unless they are of the type recommended by the manufacturer.",
The refrigerant and insulation blowing gas used in the appliance require special disposal procedures.,"|-  {'subject': 'insulation', 'relation': 'require', 'object': 'special disposal procedures'}
|-  {'subject': 'refrigerant', 'relation': 'require', 'object': 'special disposal procedures'}
|-  {'subject': 'refrigerant', 'relation': 'require', 'object': 'disposal procedures'}
|-  {'subject': 'insulation', 'relation': 'require', 'object': 'disposal procedures'}
"
Consult with service agent or a similarly qualified person before disposing of them.,
"This appliance contains a small amount of isobutane refrigerant (R600a), natural gas with high environmental compatibility, but it is also combustible.","|-  {'subject': 'isobutane refrigerant', 'relation': 'gas with', 'object': 'high environmental compatibility'}
|-  {'subject': 'natural gas', 'relation': 'is with', 'object': 'high environmental compatibility'}
"
"When transporting and installing the appliance, care should be taken to ensure that no parts of the refrigerating circuit are damaged.","|-  {'subject': 'care', 'relation': 'transporting', 'object': 'appliance'}
|-  {'subject': 'care', 'relation': 'should', 'object': 'should taken'}
"
Refrigerant squirting out of the pipes could ignite or cause an eye injury.,"|-  {'subject': 'Refrigerant', 'relation': 'squirting out of', 'object': 'pipes'}
|-  {'subject': 'Refrigerant', 'relation': 'could ignite', 'object': 'eye injury'}
"
"If a leak is detected, avoid any naked flames or potential sources of ignition and air the room in which the appliance is standing for several minutes.","|-  {'subject': 'leak', 'relation': 'is', 'object': 'detected'}
"
The amount of refrigerant in your particular appliance is shown on the identification plate inside the appliance.,"|-  {'subject': 'amount', 'relation': 'is in', 'object': 'your particular appliance'}
|-  {'subject': 'amount', 'relation': 'is', 'object': 'shown'}
|-  {'subject': 'amount', 'relation': 'is shown on', 'object': 'identification plate'}
|-  {'subject': 'amount', 'relation': 'is shown on', 'object': 'identification plate inside appliance'}
"
Never start up an appliance showing any signs of damage.,"|-  {'subject': 'showing', 'relation': 'signs of', 'object': 'damage'}
"
"If in doubt, consult your dealer.",
"Only an authorized repair person from LG Electronics service centre should disassemble, repair, or modify the product.","|-  {'subject': 'authorized repair person', 'relation': 'modify', 'object': 'product'}
|-  {'subject': 'repair person', 'relation': 'modify', 'object': 'product'}
"
Contact LG Electronics service centre if you move the product.,"|-  {'subject': 'you', 'relation': 'move', 'object': 'product'}
"
"Improper service may cause injury, electric shock or fire.","|-  {'subject': 'service', 'relation': 'may cause', 'object': 'injury'}
|-  {'subject': 'Improper service', 'relation': 'may cause', 'object': 'electric shock'}
|-  {'subject': 'Improper service', 'relation': 'may cause', 'object': 'fire'}
|-  {'subject': 'Improper service', 'relation': 'may cause', 'object': 'injury'}
|-  {'subject': 'Improper service', 'relation': 'may cause', 'object': 'shock'}
|-  {'subject': 'service', 'relation': 'may cause', 'object': 'shock'}
|-  {'subject': 'service', 'relation': 'may cause', 'object': 'electric shock'}
|-  {'subject': 'service', 'relation': 'may cause', 'object': 'fire'}
"
"To reduce the risk of explosion, fire, death, electric shock, injury or scalding to persons when using this product, follow basic precautions, including the following:   Product installation should be done only by LG service technician.","|-  {'subject': 'Product installation', 'relation': 'should', 'object': 'should done by LG service technician'}
|-  {'subject': 'Product installation', 'relation': 'should', 'object': 'should done'}
|-  {'subject': 'Product installation', 'relation': 'should', 'object': 'should done only by LG service technician'}
"
Ground the product for safety.,
"For more details on grounding, inquire at LG Electronics service centre.",
"For counter-top installation, install the product on a solid and flat area.",
"If the product is installed on an uneven floor, it can generate vibration and noise or cause misalignment of the product.","|-  {'subject': 'it', 'relation': 'can generate noise', 'object': 'installed'}
|-  {'subject': 'it', 'relation': 'can generate vibration', 'object': 'installed on uneven floor'}
|-  {'subject': 'it', 'relation': 'can generate', 'object': 'noise'}
|-  {'subject': 'product', 'relation': 'is', 'object': 'installed'}
|-  {'subject': 'it', 'relation': 'can generate noise', 'object': 'installed on uneven floor'}
|-  {'subject': 'it', 'relation': 'cause', 'object': 'misalignment'}
|-  {'subject': 'cause', 'relation': 'misalignment of', 'object': 'product'}
|-  {'subject': 'it', 'relation': 'can generate', 'object': 'vibration'}
|-  {'subject': 'it', 'relation': 'can generate vibration', 'object': 'installed'}
|-  {'subject': 'it', 'relation': 'cause', 'object': 'misalignment of product'}
|-  {'subject': 'product', 'relation': 'is installed on', 'object': 'floor'}
|-  {'subject': 'product', 'relation': 'is installed on', 'object': 'uneven floor'}
|-  {'subject': 'it', 'relation': 'can generate vibration', 'object': 'installed on floor'}
|-  {'subject': 'it', 'relation': 'can generate noise', 'object': 'installed on floor'}
"
Do not install the product in a damp area and keep away from splashing rain or water.,"|-  {'subject': 'product', 'relation': 'keep away from', 'object': 'splashing rain'}
|-  {'subject': 'product', 'relation': 'keep away from', 'object': 'rain'}
"
This appliance is equipped with a cord having an equipment-grounding conductor and grounding plug.,"|-  {'subject': 'equipment-grounding conductor', 'relation': 'grounding', 'object': 'plug'}
|-  {'subject': 'appliance', 'relation': 'is', 'object': 'equipped'}
|-  {'subject': 'appliance', 'relation': 'is equipped with', 'object': 'cord'}
|-  {'subject': 'conductor', 'relation': 'grounding', 'object': 'plug'}
"
The plug must be plugged into an appropriate outlet that is properly installed and grounded in accordance with all local codes and ordinances.,"|-  {'subject': 'plug', 'relation': 'must', 'object': 'must plugged'}
|-  {'subject': 'plug', 'relation': 'must', 'object': 'must plugged into appropriate outlet'}
|-  {'subject': 'plug', 'relation': 'must', 'object': 'must plugged into outlet'}
"
Use only grounded extension socket outlets.,"|-  {'subject': 'Use', 'relation': 'grounded', 'object': 'extension socket outlets'}
|-  {'subject': 'Use', 'relation': 'only grounded', 'object': 'extension socket outlets'}
"
Do not plug multiple products into multiple socket-outlets or extension cords.,
Do not touch the power plug with wet hands.,
Plug the power plug in the outlet tightly after removing the moisture and dust completely.,
"When pulling out the power plug from an outlet, hold the power plug, not the cable.",
"If the power cable or power plug is damaged or the hole of the outlet socket is loose, do not use the power plug and contact LG Electronics service centre.","|-  {'subject': 'power cable', 'relation': 'is', 'object': 'damaged'}
"
Unplug the power plug during thunder or lightening or when not in use for a long period of time.,
Do not bend the power cable excessively or place a heavy object on top of it.,"|-  {'subject': 'power cable', 'relation': 'place', 'object': 'object'}
|-  {'subject': 'power cable', 'relation': 'place', 'object': 'heavy object'}
|-  {'subject': 'power cable', 'relation': 'place object on top of', 'object': 'it'}
"
Do not extend the length of the power cable or alter it.,
Do not plug and unplug the power plug repeatedly.,
"In case of flood, stop using the product and contact LG Electronics service centre.",
"If there is a gas leakage (isobutane, propane, natural gas, etc.",
"), do not touch the product or power plug and ventilate the area immediately.","|-  {'subject': 'power plug', 'relation': 'ventilate immediately', 'object': 'area'}
|-  {'subject': 'power plug', 'relation': 'ventilate', 'object': 'area'}
"
